recorder Number of active agents
Timestamp: 21 de jan de 2021 19:58:24
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","total active agents","red active agents","yellow active agents","blue active agents"
481.0,100.0,10.0,40.0,50.0
482.0,100.0,10.0,40.0,50.0
483.0,100.0,10.0,40.0,50.0
484.0,100.0,10.0,40.0,50.0
485.0,100.0,10.0,40.0,50.0
486.0,100.0,10.0,40.0,50.0
487.0,100.0,10.0,40.0,50.0
488.0,100.0,10.0,40.0,50.0
489.0,100.0,10.0,40.0,50.0
490.0,100.0,10.0,40.0,50.0
491.0,100.0,10.0,40.0,50.0
492.0,100.0,10.0,40.0,50.0
493.0,100.0,10.0,40.0,50.0
494.0,100.0,10.0,40.0,50.0
495.0,100.0,10.0,40.0,50.0
496.0,100.0,10.0,40.0,50.0
497.0,100.0,10.0,40.0,50.0
498.0,100.0,10.0,40.0,50.0
499.0,100.0,10.0,40.0,50.0
500.0,100.0,10.0,40.0,50.0
501.0,100.0,10.0,40.0,50.0
502.0,100.0,10.0,40.0,50.0
503.0,100.0,10.0,40.0,50.0
504.0,100.0,10.0,40.0,50.0
505.0,100.0,10.0,40.0,50.0
506.0,100.0,10.0,40.0,50.0
507.0,100.0,10.0,40.0,50.0
508.0,100.0,10.0,40.0,50.0
509.0,100.0,10.0,40.0,50.0
510.0,100.0,10.0,40.0,50.0
511.0,100.0,10.0,40.0,50.0
512.0,100.0,10.0,40.0,50.0
513.0,100.0,10.0,40.0,50.0
514.0,100.0,10.0,40.0,50.0
515.0,100.0,10.0,40.0,50.0
516.0,100.0,10.0,40.0,50.0
517.0,100.0,10.0,40.0,50.0
518.0,100.0,10.0,40.0,50.0
519.0,100.0,10.0,40.0,50.0
520.0,100.0,10.0,40.0,50.0
521.0,100.0,10.0,40.0,50.0
522.0,100.0,10.0,40.0,50.0
523.0,100.0,10.0,40.0,50.0
524.0,100.0,10.0,40.0,50.0
525.0,100.0,10.0,40.0,50.0
526.0,100.0,10.0,40.0,50.0
527.0,100.0,10.0,40.0,50.0
528.0,100.0,10.0,40.0,50.0
529.0,100.0,10.0,40.0,50.0
530.0,100.0,10.0,40.0,50.0
531.0,100.0,10.0,40.0,50.0
532.0,100.0,10.0,40.0,50.0
533.0,100.0,10.0,40.0,50.0
534.0,100.0,10.0,40.0,50.0
535.0,100.0,10.0,40.0,50.0
536.0,100.0,10.0,40.0,50.0
537.0,100.0,10.0,40.0,50.0
538.0,100.0,10.0,40.0,50.0
539.0,100.0,10.0,40.0,50.0
540.0,100.0,10.0,40.0,50.0
541.0,100.0,10.0,40.0,50.0
542.0,100.0,10.0,40.0,50.0
543.0,100.0,10.0,40.0,50.0
544.0,100.0,10.0,40.0,50.0
545.0,100.0,10.0,40.0,50.0
546.0,100.0,10.0,40.0,50.0
547.0,100.0,10.0,40.0,50.0
548.0,100.0,10.0,40.0,50.0
549.0,100.0,10.0,40.0,50.0
550.0,100.0,10.0,40.0,50.0
551.0,100.0,10.0,40.0,50.0
552.0,100.0,10.0,40.0,50.0
553.0,100.0,10.0,40.0,50.0
554.0,100.0,10.0,40.0,50.0
555.0,100.0,10.0,40.0,50.0
556.0,100.0,10.0,40.0,50.0
557.0,100.0,10.0,40.0,50.0
558.0,100.0,10.0,40.0,50.0
559.0,100.0,10.0,40.0,50.0
560.0,100.0,10.0,40.0,50.0
561.0,100.0,10.0,40.0,50.0
562.0,100.0,10.0,40.0,50.0
563.0,100.0,10.0,40.0,50.0
564.0,100.0,10.0,40.0,50.0
565.0,100.0,10.0,40.0,50.0
566.0,100.0,10.0,40.0,50.0
567.0,100.0,10.0,40.0,50.0
568.0,100.0,10.0,40.0,50.0
569.0,100.0,10.0,40.0,50.0
570.0,100.0,10.0,40.0,50.0
571.0,100.0,10.0,40.0,50.0
572.0,100.0,10.0,40.0,50.0
573.0,100.0,10.0,40.0,50.0
574.0,100.0,10.0,40.0,50.0
575.0,100.0,10.0,40.0,50.0
576.0,100.0,10.0,40.0,50.0
577.0,100.0,10.0,40.0,50.0
578.0,100.0,10.0,40.0,50.0
579.0,100.0,10.0,40.0,50.0
580.0,100.0,10.0,40.0,50.0
581.0,100.0,10.0,40.0,50.0
582.0,100.0,10.0,40.0,50.0
583.0,100.0,10.0,40.0,50.0
584.0,100.0,10.0,40.0,50.0
585.0,100.0,10.0,40.0,50.0
586.0,100.0,10.0,40.0,50.0
587.0,100.0,10.0,40.0,50.0
588.0,100.0,10.0,40.0,50.0
589.0,100.0,10.0,40.0,50.0
590.0,100.0,10.0,40.0,50.0
591.0,100.0,10.0,40.0,50.0
592.0,100.0,10.0,40.0,50.0
593.0,100.0,10.0,40.0,50.0
594.0,100.0,10.0,40.0,50.0
595.0,100.0,10.0,40.0,50.0
596.0,100.0,10.0,40.0,50.0
597.0,100.0,10.0,40.0,50.0
598.0,100.0,10.0,40.0,50.0
599.0,100.0,10.0,40.0,50.0
600.0,100.0,10.0,40.0,50.0
601.0,100.0,10.0,40.0,50.0
602.0,100.0,10.0,40.0,50.0
603.0,100.0,10.0,40.0,50.0
604.0,100.0,10.0,40.0,50.0
605.0,100.0,10.0,40.0,50.0
606.0,100.0,10.0,40.0,50.0
607.0,100.0,10.0,40.0,50.0
608.0,100.0,10.0,40.0,50.0
609.0,100.0,10.0,40.0,50.0
610.0,100.0,10.0,40.0,50.0
611.0,100.0,10.0,40.0,50.0
612.0,100.0,10.0,40.0,50.0
613.0,100.0,10.0,40.0,50.0
614.0,100.0,10.0,40.0,50.0
615.0,100.0,10.0,40.0,50.0
616.0,100.0,10.0,40.0,50.0
617.0,100.0,10.0,40.0,50.0
618.0,100.0,10.0,40.0,50.0
619.0,100.0,10.0,40.0,50.0
620.0,100.0,10.0,40.0,50.0
621.0,100.0,10.0,40.0,50.0
622.0,100.0,10.0,40.0,50.0
623.0,100.0,10.0,40.0,50.0
624.0,100.0,10.0,40.0,50.0
625.0,100.0,10.0,40.0,50.0
626.0,100.0,10.0,40.0,50.0
627.0,100.0,10.0,40.0,50.0
628.0,100.0,10.0,40.0,50.0
629.0,100.0,10.0,40.0,50.0
630.0,100.0,10.0,40.0,50.0
631.0,100.0,10.0,40.0,50.0
632.0,100.0,10.0,40.0,50.0
633.0,100.0,10.0,40.0,50.0
634.0,100.0,10.0,40.0,50.0
635.0,100.0,10.0,40.0,50.0
636.0,100.0,10.0,40.0,50.0
637.0,100.0,10.0,40.0,50.0
638.0,100.0,10.0,40.0,50.0
639.0,100.0,10.0,40.0,50.0
640.0,100.0,10.0,40.0,50.0
641.0,100.0,10.0,40.0,50.0
642.0,100.0,10.0,40.0,50.0
643.0,100.0,10.0,40.0,50.0
644.0,100.0,10.0,40.0,50.0
645.0,100.0,10.0,40.0,50.0
646.0,100.0,10.0,40.0,50.0
647.0,100.0,10.0,40.0,50.0
648.0,100.0,10.0,40.0,50.0
649.0,100.0,10.0,40.0,50.0
650.0,100.0,10.0,40.0,50.0
651.0,100.0,10.0,40.0,50.0
652.0,100.0,10.0,40.0,50.0
653.0,100.0,10.0,40.0,50.0
