recorder Number of inactive agents
Timestamp: 21 de jan de 2021 19:58:25
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","total inactive agents","red inactive agents","yellow inactive agents","blue inactive agents","cyan inactive agents","green inactive agents"
338.0,59.0,1.0,3.0,15.0,40.0,0.0
339.0,59.0,1.0,3.0,15.0,40.0,0.0
340.0,59.0,1.0,3.0,15.0,40.0,0.0
341.0,59.0,1.0,3.0,15.0,40.0,0.0
342.0,59.0,1.0,3.0,15.0,40.0,0.0
343.0,59.0,1.0,3.0,15.0,40.0,0.0
344.0,59.0,1.0,3.0,15.0,40.0,0.0
345.0,59.0,1.0,3.0,15.0,40.0,0.0
346.0,59.0,1.0,3.0,15.0,40.0,0.0
347.0,59.0,1.0,3.0,15.0,40.0,0.0
348.0,59.0,1.0,3.0,15.0,40.0,0.0
349.0,59.0,1.0,3.0,15.0,40.0,0.0
350.0,59.0,1.0,3.0,15.0,40.0,0.0
351.0,59.0,1.0,3.0,15.0,40.0,0.0
352.0,59.0,1.0,3.0,15.0,40.0,0.0
353.0,59.0,1.0,3.0,15.0,40.0,0.0
354.0,59.0,1.0,3.0,15.0,40.0,0.0
355.0,59.0,1.0,3.0,15.0,40.0,0.0
356.0,59.0,1.0,3.0,15.0,40.0,0.0
357.0,59.0,1.0,3.0,15.0,40.0,0.0
358.0,59.0,1.0,3.0,15.0,40.0,0.0
359.0,59.0,1.0,3.0,15.0,40.0,0.0
360.0,59.0,1.0,3.0,15.0,40.0,0.0
361.0,60.0,1.0,4.0,15.0,40.0,0.0
362.0,60.0,1.0,4.0,15.0,40.0,0.0
363.0,60.0,1.0,4.0,15.0,40.0,0.0
364.0,60.0,1.0,4.0,15.0,40.0,0.0
365.0,60.0,1.0,4.0,15.0,40.0,0.0
366.0,60.0,1.0,4.0,15.0,40.0,0.0
367.0,60.0,1.0,4.0,15.0,40.0,0.0
368.0,60.0,1.0,4.0,15.0,40.0,0.0
369.0,60.0,1.0,4.0,15.0,40.0,0.0
370.0,60.0,1.0,4.0,15.0,40.0,0.0
371.0,60.0,1.0,4.0,15.0,40.0,0.0
372.0,60.0,1.0,4.0,15.0,40.0,0.0
373.0,60.0,1.0,4.0,15.0,40.0,0.0
374.0,60.0,1.0,4.0,15.0,40.0,0.0
375.0,60.0,1.0,4.0,15.0,40.0,0.0
376.0,60.0,1.0,4.0,15.0,40.0,0.0
377.0,60.0,1.0,4.0,15.0,40.0,0.0
378.0,60.0,1.0,4.0,15.0,40.0,0.0
379.0,60.0,1.0,4.0,15.0,40.0,0.0
380.0,60.0,1.0,4.0,15.0,40.0,0.0
381.0,60.0,1.0,4.0,15.0,40.0,0.0
382.0,60.0,1.0,4.0,15.0,40.0,0.0
383.0,60.0,1.0,4.0,15.0,40.0,0.0
384.0,60.0,1.0,4.0,15.0,40.0,0.0
385.0,60.0,1.0,4.0,15.0,40.0,0.0
386.0,60.0,1.0,4.0,15.0,40.0,0.0
387.0,60.0,1.0,4.0,15.0,40.0,0.0
388.0,60.0,1.0,4.0,15.0,40.0,0.0
389.0,60.0,1.0,4.0,15.0,40.0,0.0
390.0,60.0,1.0,4.0,15.0,40.0,0.0
391.0,60.0,1.0,4.0,15.0,40.0,0.0
392.0,60.0,1.0,4.0,15.0,40.0,0.0
393.0,60.0,1.0,4.0,15.0,40.0,0.0
394.0,60.0,1.0,4.0,15.0,40.0,0.0
395.0,60.0,1.0,4.0,15.0,40.0,0.0
396.0,60.0,1.0,4.0,15.0,40.0,0.0
397.0,60.0,1.0,4.0,15.0,40.0,0.0
398.0,60.0,1.0,4.0,15.0,40.0,0.0
399.0,60.0,1.0,4.0,15.0,40.0,0.0
400.0,60.0,1.0,4.0,15.0,40.0,0.0
401.0,60.0,1.0,4.0,15.0,40.0,0.0
